date_time,place,longitude,latitude,rainfall
20200918_160000, Nigata,139.01833333,37.89333333,0.400000005960464
20200918_160000, Sendai,140.89666667,38.26166667,0.400000005960464
20200918_160000, Fukuoka,130.375,33.58166667,0.0
20200918_163000, Nigata,139.01833333,37.89333333,0.0
20200918_163000, Fukuoka,130.375,33.58166667,0.0
20200918_163000, Sendai,140.89666667,38.26166667,0.400000005960464
20200918_163000, Tokyo,139.75,35.69166667,0.0
20200918_163000, Osaka,135.51833333,34.68166667,0.0
20200918_163000, Naha,127.68666667,26.20666667,0.0
20200918_170000, Nigata,139.01833333,37.89333333,0.0
20200918_170000, Fukuoka,130.375,33.58166667,0.0
20200918_170000, Sendai,140.89666667,38.26166667,0.0
20200918_170000, Tokyo,139.75,35.69166667,0.0
20200918_170000, Naha,127.68666667,26.20666667,0.0
20200918_170000, Osaka,135.51833333,34.68166667,0.0
20200918_173000, Naha,127.68666667,26.20666667,0.0
20200918_173000, Osaka,135.51833333,34.68166667,0.0
20200918_173000, Sendai,140.89666667,38.26166667,0.0
20200918_173000, Fukuoka,130.375,33.58166667,0.0
20200918_173000, Tokyo,139.75,35.69166667,0.0
20200918_173000, Nigata,139.01833333,37.89333333,1.0
20200918_180000, Tokyo,139.75,35.69166667,0.0
20200918_180000, Naha,127.68666667,26.20666667,0.0
20200918_180000, Osaka,135.51833333,34.68166667,0.0
20200918_180000, Fukuoka,130.375,33.58166667,0.0
20200918_180000, Sendai,140.89666667,38.26166667,0.0
20200918_180000, Nigata,139.01833333,37.89333333,1.0
20200918_183000, Nigata,139.01833333,37.89333333,0.400000005960464
20200918_183000, Osaka,135.51833333,34.68166667,0.0
20200918_183000, Tokyo,139.75,35.69166667,0.0
20200918_183000, Sendai,140.89666667,38.26166667,0.0
20200918_183000, Fukuoka,130.375,33.58166667,0.0
20200918_183000, Naha,127.68666667,26.20666667,0.0
20200918_190000, Fukuoka,130.375,33.58166667,0.0
20200918_190000, Naha,127.68666667,26.20666667,0.0
20200918_190000, Nigata,139.01833333,37.89333333,1.0
20200918_190000, Sendai,140.89666667,38.26166667,0.0
20200918_190000, Osaka,135.51833333,34.68166667,0.0
20200918_190000, Tokyo,139.75,35.69166667,0.0
20200918_193000, Tokyo,139.75,35.69166667,0.0
20200918_193000, Naha,127.68666667,26.20666667,0.0
20200918_193000, Fukuoka,130.375,33.58166667,0.0
20200918_193000, Nigata,139.01833333,37.89333333,1.0
20200918_193000, Sendai,140.89666667,38.26166667,0.0
20200918_193000, Osaka,135.51833333,34.68166667,0.0
20200918_200000, Naha,127.68666667,26.20666667,0.0
20200918_200000, Tokyo,139.75,35.69166667,0.0
20200918_200000, Nigata,139.01833333,37.89333333,0.0
20200918_200000, Osaka,135.51833333,34.68166667,0.0
20200918_200000, Sendai,140.89666667,38.26166667,0.0
20200918_200000, Fukuoka,130.375,33.58166667,0.0
20200918_203000, Sendai,140.89666667,38.26166667,0.0
20200918_203000, Tokyo,139.75,35.69166667,0.0
20200918_203000, Osaka,135.51833333,34.68166667,0.0
20200918_203000, Naha,127.68666667,26.20666667,0.0
20200918_203000, Fukuoka,130.375,33.58166667,0.0
20200918_203000, Nigata,139.01833333,37.89333333,0.0
20200918_210000, Sendai,140.89666667,38.26166667,0.0
20200918_210000, Tokyo,139.75,35.69166667,0.0
20200918_210000, Naha,127.68666667,26.20666667,0.0
20200918_210000, Fukuoka,130.375,33.58166667,0.0
20200918_210000, Osaka,135.51833333,34.68166667,0.0
20200918_210000, Nigata,139.01833333,37.89333333,0.0
20200918_213000, Osaka,135.51833333,34.68166667,0.0
20200918_213000, Tokyo,139.75,35.69166667,0.0
20200918_213000, Fukuoka,130.375,33.58166667,0.0
20200918_213000, Naha,127.68666667,26.20666667,0.0
20200918_213000, Nigata,139.01833333,37.89333333,0.0
20200918_213000, Sendai,140.89666667,38.26166667,0.0
20200918_220000, Tokyo,139.75,35.69166667,0.0
20200918_220000, Fukuoka,130.375,33.58166667,0.0
20200918_220000, Osaka,135.51833333,34.68166667,0.0
